|Unnamed: 0|id|fecha|anio|mes|dia|rol|victima|sexo|edad|fecha_deceso|edad_rango|dia_semana|acusado|hora_rango|x|y|lugar|direc_norm|comuna
133|133|2016-0164|2016-12-11|2016|12|11|CONDUCTOR|AUTO|MASCULINO|29.0|SD|4|Sunday|AUTO|6|-58.42323628|-34.64119105|AV LA PLATA Y CNEL GREGORIO POMAR|LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.|4
134|134|2016-0165|2016-12-12|2016|12|12|CICLISTA|BICICLETA|MASCULINO|37.0|SD|5|Monday|PASAJEROS|8|-58.36926144|-34.62841919|AV MARTIN GARCIA 300|GARCIA, MARTIN AV. 300|4
135|135|2016-0168|2016-12-13|2016|12|13|CONDUCTOR|MOTO|MASCULINO|43.0|2016-12-13 00:00:00|5|Tuesday|AUTO|10|-58.42323628|-34.64119105|AV LA PLATA Y CNEL GREGORIO POMAR|LA PLATA AV. y POMAR, GREGORIO TTE. CNEL.|4
136|136|2016-0169|2016-12-15|2016|12|15|CONDUCTOR|MOTO|MASCULINO|24.0|2016-12-16 00:00:00|4|Thursday|PASAJEROS|15|-58.47935434|-34.55676497|NUÑEZ Y AV RICARDO BALBIN|NUÃ‘EZ y BALBIN, RICARDO, DR. AV.|12
137|137|2016-0170|2016-12-19|2016|12|19|PASAJERO_ACOMPAÑANTE|MOTO|MASCULINO|21.0|2016-12-19 00:00:00|4|Monday|AUTO|17|-58.50598256|-34.5637998|AV GRAL PAZ 4500|PAZ, GRAL. AV. 4500|12
138|138|2016-0171|2016-12-25|2016|12|25|CONDUCTOR|MOTO|SD||SD|6|Sunday|MOTO|19|-58.36607137|-34.62150748|AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO|HUERGO, ING. AV. y AUTOPISTA 25 DE MAYO|1
139|139|2016-0172|2016-12-26|2016|12|26|CONDUCTOR|MOTO|MASCULINO|38.0|2016-12-26 00:00:00|5|Monday|CARGAS|8|-58.41918902|-34.63174259|AV GARAY Y CASTRO|GARAY, JUAN DE AV. y CASTRO|5
140|140|2016-0173|2016-12-26|2016|12|26|CONDUCTOR|MOTO|MASCULINO|35.0|SD|5|Monday|CARGAS|19|-58.46749188|-34.63551751|AV DIRECTORIO Y AV SAN PEDRITO|DIRECTORIO AV. y SAN PEDRITO AV.|7
141|141|2016-0174|2016-12-27|2016|12|27|SD|SD|SD||SD|6|Tuesday|SD|0|0.0|0.0|AUTOPISTA 25 DE MAYO|AUTOPISTA 25 DE MAYO|0
142|142|2016-0175|2016-12-27|2016|12|27|PEATON|PEATON|FEMENINO||SD|6|Tuesday|BICICLETA|8|-58.46064174|-34.62960517|CNEL RAMON L FALCON Y MEMBRILLAR|FALCON, RAMON L.,CNEL. y MEMBRILLAR|7
